Chinese Name,Pinyin Name,Category,Element 1,Element 2,Element 3,Element 4
富贵吉庆,fuguijiqing,B,Peony,Halbard,Stone Musical Triangle,
富贵双全,fuguishuangquan,B,Peony,Pekingese Dog,,
和合如意,heheruyi,B,Lotus,Box,Sceptre,
洪福齐天,hongfuqitian,B,Bat,,,
华封三祝,huafengsanzhu,B,Heavenly Bamboo,,,
吉庆,jiqing,B,Striking,Stone Musical Triangle,,
吉庆平安,jiqingpingan,B,Halbard,Stone Musical Triangle,Vase,
吉庆如意,jiqingruyi,B,Stone Musical Triangle,Sceptre,,
吉庆双余,jiqingshuangyu,B,Halbard,Stone Musical Triangle,Fish,
吉岁,jisui,B,Scrapes Of Penmanship And Painting,Torn Pages From Books,,
吉祥如意,jixiangruyi,B,Elephant,Sceptre,,
吉祥童子,jixiangtongzi,B,sheep,Boy,,
九如,jiuru,B,Fish,,,
乐福,lefu,B,Bat,,,
马上得福,mashangdefu,B,Horse,Bat,,
纳福迎祥,nafuyingxiang,B,Boy,Bat,Vat,
年年大吉,nianniandaji,B,Catfish,Tangerine,,
年年如意,niannianruyi,B,Catfish,Fungus,,
平安如意,pinganruyi,B,Vase,Sceptre,,
平安五福自天来,pinganwufuzitianlai,B,Boy,Bat,,
平升五福,pingshengwufu,B,Vase,Bamboo Windpipe,Bat,
翘盼福音,qiaopanfuyin,B,Boy,Bat,,
如意万福,ruyiwanfu,B,Knot,Swastika,Bat,
三多九如,sanduojiuru,B,Buddha's Hands,Pomegranate,Sceptre,
事事如意,shishiruyi,B,Persimmon,Sceptre,,
室上大吉,shishangdaji,B,Chicken,Garden Rock,,
寿山福海,shoushanfuhai,B,Fungus,Bat,Sea,Mountain
双福双寿,shuangfushuangshou,B,Bat,Peach,,
双余吉庆,shuangyujiqing,B,Halbard,Stone Musical Triangle,FIsh,
太平吉利,taipingjili,B,Apple,Tangerine,Lychee,
太平青吉,taipingqingji,B,Apple,Tangerine,,
万福万寿,wanfuwanshou,B,Swastika,Shou Character ,Bat,
万年吉庆,wannianjiqing,B,Pine Tree,Stone Musical Triangle,Hammer,
万年如意,wannianruyi,B,Swastika,Catfish,Sceptre,
万事如意,wanshiruyi,B,Swastika,Persimmon,Sceptre,
万寿长春,wanshouchangchun,B,Rohdea Japonica,Garden Rock,Madagascar Periwinkle,
五福长庆,wufuchangqing,B,Five,Bat,Knot,Stone Musical Triangle
五福和合,wufuhehe,B,Five,Bat,Box,
五福兼隆,wufujianlong,B,Five,Bat,Coop,
五福捧寿,wufupengshou,B,Five,Bat,Shou Character ,
喜从天降,xicongtianjiang,B,Spider,,,
新春大吉,xinchundaji,B,Chicken,,,
新年大吉,xinniandaji,B,Catfish,Chicken,,
一路福星,yilufuxing,B,Deer,God Of Good Fortune,,
月月见喜,yueyuejianxi,B,Monthly Rose,Magpie,,
月月锦绣,yueyuejinxiu,B,Monthly Rose,Long-tailed Pheasant,,
重重叠叠,chongchongdiedie,B,Silkworm,Silkworm Moth,Butterfly,
心灵福至,xinlingfuzhi,B,Water Caltrop,Bat,,
喜得连科,xidelianke,C,Magpie,Lotus,,
百爵,baijue,C,Sparrow,,,
辈辈封侯,beibeifenghou,C,Monkey,,,
必定升官,bidingshengguan,C,Pen Brush,Ingot,Official Hat,
蟾宫折桂,changongzhegui,C,Toad,Bow,osmanthus,
长年大贵,changniandagui,C,Catfish,Mandarin Fish,,
传胪,chuanlu,C,Crab,Reed,,
夺魁,duokui,C,Boy,Helmet,,
二甲传胪,erjiachuanlu,C,Crab,Reed,,
封侯,fenghou,C,Bee,Monkey,,
封侯挂印,fenghouguayin,C,Monkey,Seal,Bee,
封侯荫伯,fenghouyinbo,C,Monkey,Bee,Cypress,
封侯增寿,fenghouzengshou,C,Peach,Monkey,Bee,
夫荣妻贵,furongqigui,C,Hibiscus,,,
福寿富贵,fushoufugui,C,Buddha's Hands,Garden Rock,Peony,
富贵白头,fuguibaitou,C,Peony,Chinese Bulbul,,
富贵长春,fuguichangchun,C,Peony,Madagascar Periwinkle,,
富贵长绵,fuguichangmian,C,Peony,Knot,,
富贵长寿,fuguichangshou,C,Peony,Long-tailed Tit,,
富贵登云,fuguidengyun,C,Peony,Lamp,Cloud,
富贵多福,fuguiduofu,C,Peony,Buddha's Hands,,
富贵多子,fuguiduozi,C,Peony,Pomegranate,,
富贵福寿,fuguifushou,C,Peony,Bat,Peach,
富贵高寿,fuguigaoshou,C,Peony,Garden Rock,,
富贵和平,fuguiheping,C,Peony,Pigeon,,
富贵吉庆,fuguijiqing,C,Peony,Halbard,Stone Musical Triangle,
富贵满堂,fuguimantang,C,Peony,chinese flowering crab-apple,,
富贵耄耋,fuguimaodie,C,Peony,Cat,Butterfly,
富贵平安,fuguipingan,C,Peony,pingan,,
富贵齐眉,fuguiqimei,C,Water Chestnut,Prunus,Bat,
富贵齐眉 白头偕老,fuguiqimeibaitouxielao,C,Peony,Prunus,Chinese Bulbul,
富贵荣华,fuguironghua,C,Peony,Hibiscus,,
富贵荣华到白头,fuguironghuadaobaitou,C,Peony,Hibiscus,Chinese Bulbul,
富贵神仙,fuguishenxian,C,Peony,Narcissus,,
富贵寿考,fuguishoukao,C,Peony,Garden Rock,,
富贵双全,fuguishuangquan,C,Peony,Pekingese Dog,,
富贵双寿,fuguishuangshou,C,Peony,Long-tailed Tit,,
富贵双喜,fuguishuangxi,C,Peony,Magpie,,
富贵双余,fuguishuangyu,C,Peony,Fish,,
富贵太平,fuguitaiping,C,Peony,Vase,,
富贵因缘,fuguiyinyuan,C,Peony,Citrus Grandis,,
富贵有期,fuguiyouqi,C,Peony,Chicken,,
富贵有余,fuguishuangyu,C,Peony,Fish,,
功名富贵,gongmingfugui,C,Chicken,Peony,,
官居一品,guanjuyipin,C,Cricket,Chrysanthemum,,
官上加官,guanshangjiaguan,C,Cricket,Chicken,,
吉利万年,jiliwannian,C,Chicken,Lychee,,
汲汲高官,jijigaoguan,C,Cockscomb,,,
加官,jiaguan,C,Official Hat,Official Hat,,
加官多子,jiaguanduozi,C,Cockscomb,Chicken,,
加官进爵,jiaguanjinjue,C,Official Hat,Wine Vessel,,
加官进禄,jiaguanjinlu,C,Official Hat,Deer,,
加官受禄,jiaguanshoulu,C,Official,Deer,,
教子加官,jiaozijiaguan,C,Cockscomb,Chicken,,
晋爵,jinjue,C,Wine Vessel,,,
晋爵一品,jinjueyipin,C,Wine Vessel,,,
爵禄封侯,juelufenghou,C,Sparrow,Deer,Bee,Monkey
爵禄图,juelutu,C,Sparrow,Deer,,
连登太师,liandengtaishi,C,Lotus-shaped Lamp,Pekingese Dog,,
连封一品,lianfengyipin,C,Lotus,Crane,,
连科及第,liankejidi,C,Lotus,,,
连中三元,lianzhongsanyuan,C,Lychee,Longan,Walnut,
路路连科,lululianke,C,Egret,Lotus,,
路路荣华,luluronghua,C,Egret,Hibiscus,,
路路顺利,lulushunli,C,Deer,,,
马上封侯,mashangfenghou,C,Horse,Monkey,,
满堂富贵,mantangfugui,C,Chinese flowering crab-apple,Peony,,
耄耋富贵,maodiefugui,C,Peony,Cat,Butterfly,
平安富贵,pinganfugui,C,Apple,Peony,,
平升三级,pingshengsanji,C,Vase,Halbard,,
平生富贵,pingshengfugui,C,Vase,Bat,,
荣华富贵,ronghuafugui,C,Hibiscus,Peony,,
三公百寿,sangongbaishou,C,Chicken,Cypress,,
三公五爵,sangongwujue,C,Chinese Bulbul,Sparrow,,
三元,sanyuan,C,Lychee,,,
三元得路,sanyuandelu,C,Gibbon,Egret,,
尚书红杏,shangshuhongxing,C,Book,Red Apricot Flower,,
十全富贵,shiquanfugui,C,Peony,,,
双雄斗智,shuangxiongdouzhi,C,Bear/Chicken,,,
双余,shuangyu,C,Fish,,,
太师少师,taishishaoshi,C,Lion,,,
万代封侯,wandaifenghou,C,Swastika,Sack,Bee,Monkey
位列三公,weiliesangong,C,Chicken,,,
五爵图,wujuetu,C,Sparrow,,,
五世分甘,wushifengan,C,Persimmon,,,
五世荣昌,wushirongchang,C,Pomegranate,,,
五子夺魁,wuziduokui,C,Boy,Fighting Over,Helmet,
喜报三元,xibaosanyuan,C,Magpie,Three,Longan,
杏林春宴,xinglinchunyan,C,Red Apricot Flower,Swallow,,
雁塔题名,yantatiming,C,Wild Goose,Pagoda,,
一甲一名,yijiayiming,C,Duck,,,
一路功名到白头,yilugongmingdaobaitou,C,Egret,Chinese Bulbul,,
一路连科,yilulianke,C,Reed,Lotus,,
一路荣华到白头,yiluronghuadaobaitou,C,Hibiscus,Egret,Chinese Bulbul,
一品朝衣,yipinchaoyi,C,Lotus,,,
一品当朝,yipindangchao,C,Crane,Water Tide,,
一品富贵,yipinfugui,C,Crane,Peony,,
一品高升,yipingaosheng,C,Crane,Cloud,,
一品加封,yipinjiafeng,C,Peony,Bee,,
英雄斗智,yingxiongdouzhi,C,Eagle,Bear,,
指日高升,zhirigaosheng,C,Sun,,,
朱题金榜,zhutijinbang,C,Pig,,,
紫绶金章,zishoujinzhang,C,Wisteria,Goldfish,,
百瓞,baidie,D,Hundred,Butterfly,,
聪明伶俐,congminglinli,D,Spring Onion,Water Caltrop,Lychee,
多福多寿多男子,duofuduoshouduonanzi,D,Bat,Pomegranate,,
多寿多子,duoshouduozi,D,Pomegranate,Long-tailed Tit,,
多子多福,duoziduofu,D,Pomegranate,Bat,,
福禄万代,fuluwandai,D,Bat,Calabash,Vine,
福增贵子,fuzengguizi,D,Bat,osmanthus,,
富贵多子,fuguiduozi,D,Peony,Pomegranate,,
瓜瓞绵绵,guadiemianmian,D,Melon,Butterfly,,
华封三祝,huafengsanzhu,D,Heavenly Bamboo,,,
加官多子,jiaguanduozi,D,Cockscomb,Chicken,,
教子加官,jiaozijiaguan,D,Cockscomb,Chicken,,
老者多寿 少者多子,laozheduoshoushaozheduozi,D,Pomegranate,Peach,,
连生贵子,lianshengguizi,D,Lotus,Bamboo Windpipe,Pomegranate,
榴开百子,liukaibaizi,D,Pomegranate,,,
榴开见子,liukaijianzi,D,Pomegranate,,,
龙孙图,longsuntu,D,Bamboo Shoot,,,
三多,sanduo,D,Bat,Pomegranate,,
世世多子,shishiduozi,D,Pomegranate,,,
万代长春,wandaichangchun,D,Swastika,Madagascar Periwinkle,,
万代封侯,wandaifenghou,D,Swastika,Sack,Bee,Monkey
五世分甘,wushifengan,D,Persimmon,,,
五世荣昌,wushirongchang,D,Pomegranate,,,
五世同居,wushitongju,D,Lion,,,
五世同堂,wushitongtang,D,Persimmon,,,
喜报多子,xibaoduozi,D,Magpie,Pomegranate,,
喜叫哥哥,xijiaogege,D,Boy,Cricket,,
眼看五世,yankanwushi,D,Persimmon,,,
早立子,zaolizi,D,jujube,Lychee,,
早生贵子,zaoshengguizi,D,jujube,Peanut,,
子孙和合,zisunhehe,D,Boy,Lotus,,
子孙万代,zisunwandai,D,Boy,Vine,,
白头到老,baitoudaolao,D,Chinese Bulbul,,,
白头眉寿,baitoumeishou,D,Chinese Bulbul,Prunus,Garden Rock,
白头同老,baitoutonglao,D,Chinese Bulbul,,,
白头偕老,baitouxielao,D,Chinese Bulbul,,,
百年好合,bainianhaohe,D,Chinese Lily,Box,,
百子千房,baiziqianfang,D,Pomegranate,,,
并蒂双贵,bingdishuanggui,D,Double Lotus Flowers,Mandarin Fish,,
夫荣妻贵,furongqigui,D,Hibiscus,,,
福禄鸳鸯,fuluyuanyang,D,Hibiscus,Reed,Mandarin Duck,
富贵齐眉,fuguiqimei,D,Water Chestnut,Prunus,Bat,
富贵齐眉 白头偕老,fuguiqimeibaitouxielao,D,Peony,Prunus,Chinese Bulbul,
和和美美,hehemeimei,D,Lotus,Prunus,,
佳偶天成,jiaoutiancheng,D,Lotus Root,,,
交结四方,jiaojiesifang,D,Knots Connected To Each Other,,,
九世安居,jiushianju,D,Quail,Chrysanthemum,,
举案齐眉,juanqimei,D,Wild Goose,Prunus,,
老少大喜,laoshaodaxi,D,Amaranth,Magpie,,
老少清白,laoshaoqingbai,D,Amaranth,Chinese Greens,,
老者多寿 少者多子,laozheduoshoushaozheduozi,D,Pomegranate,Peach,,
满堂富贵,mantangfugui,D,Chinese flowering crab-apple,Peony,,
全家乐,quanjiale,D,Fisherman,Enjoying,,
室上大吉,shishangdaji,D,Chicken,Garden Rock,,
双安,shuangan,D,Quail,,,
双欢图,shuanghuantu,D,Badger,,,
堂上白头,tangshangbaitou,D,Chinese Bulbul,Crab Apple,,
堂上双白,tangshangshuangbai,D,Chinese Bulbul,Chinese Parasol Tree,,
天长地久,tianchangdijiu,D,Heavenly Bamboo,Squash,,
同偕,tongxie,D,Shoes,,,
同偕到老,tongxiedaolao,D,Bronze Mirror,Shoes,,
许君双寿,xujunshuangshou,D,Mouse,Peach,,
燕尔同栖,yanertongqi,D,Swallow,,,
因何得偶,yinhedeou,D,Lotus,Lotus root,,
鸳鸯偶合,yuanyangouhe,D,Mandarin Duck,Lotus Root ,Lotus,
早生贵子,zaoshengguizi,D,jujube,Peanut,,
鹤鹿同春,helutongchun,D,Deer,crane,Chinese Parasol Tree,
九世安居,jiushianju,D,Quail,Chrysanthemum,,
三多九如,sanduojiuru,D,Buddha's Hands,Pomegranate,Sceptre,
五福长庆,wufuchangqing,D,Bat,Knot,Stone Musical Triangle,
白头富贵,baitoufugui,E,Chinese Bulbul,Peony,,
百爵,baijue,E,Sparrow,,,
百龄食禄,bailingshilu,E,Cypress,Deer,,
百禄,bailu,E,Deer,,,
长命富贵,changmingfugui,E,Peach Blossom,Peony,,
大富贵,dafugui,E,Peony,,,
大富贵亦寿考,dafuguiyishoukao,E,Peony,Long-tailed Tit,,
大利,dali,E,Lychee,,,
大年,danian,E,Catfish,,,
大喜大利,daxidali,E,Magpie,Lychee,,
得财,decai,E,Gathering Firewood,,,
得禄图,delutu,E,Hunting,Deer,,
耋寿富贵,dieshoufugui,E,Butterfly,Garden Rock,Peony,
多利,duoli,E,Lychee,,,
福禄,fulu,E,Calabash,Bat,,
福禄并臻,fulubingzhen,E,Bat,Deer,,
福禄寿,fulushou,E,Bat,Deer,Fungus,
福禄寿喜,fulushouxi,E,Bat,Deer,Magpie,Peach
福禄万代,fuluwandai,E,Bat,Calabash,Vine,
福禄鸳鸯,fuluyuanyang,E,Hibiscus,Reed,Mandarin Duck,
福禄自天降,fuluzitianjiang,E,Bat,Calabash,,
福寿富贵,fushoufugui,E,Buddha's Hands,Garden Rock,Peony,
富贵白头,fuguibaitou,E,Peony,Chinese Bulbul,,
富贵长春,fuguichangchun,E,Peony,Madagascar Periwinkle,,
富贵长绵,fuguichangmian,E,Peony,Knot,,
富贵长寿,fuguichangshou,E,Peony,Long-tailed Tit,,
富贵登云,fuguidengyun,E,Peony,Lamp,Cloud,
富贵多福,fuguiduofu,E,Peony,Buddha's Hands,,
富贵多子,fuguiduozi,E,Peony,Pomegranate,,
富贵福寿,fuguifushou,E,Peony,Bat,Peach,
富贵高寿,fuguigaoshou,E,Peony,Garden Rock,,
富贵和平,fuguiheping,E,Peony,Pigeon,,
富贵吉庆,fuguijiqing,E,Peony,Halbard,Stone Musical Triangle,
富贵满堂,fuguimantang,E,Peony,chinese flowering crab-apple,,
富贵耄耋,fuguimaodie,E,Peony,Cat,Butterfly,
富贵平安,fuguipingan,E,Peony,pingan,,
富贵齐眉,fuguiqimei,E,Water Chestnut,Prunus,Bat,
富贵齐眉 白头偕老,fuguiqimeibaitouxielao,E,Peony,Prunus,Chinese Bulbul,
富贵荣华,fuguironghua,E,Peony,Hibiscus,,
富贵荣华到白头,fuguironghuadaobaitou,E,Peony,Hibiscus,Chinese Bulbul,
富贵神仙,fuguishenxian,E,Peony,Narcissus,,
富贵寿考,fuguishoukao,E,Peony,Garden Rock,,
富贵双全,fuguishuangquan,E,Peony,Pekingese Dog,,
富贵双寿,fuguishuangshou,E,Peony,Long-tailed Tit,,
富贵双喜,fuguishuangxi,E,Peony,Magpie,,
富贵双余,fuguishuangyu,E,Peony,Fish,,
富贵太平,fuguitaiping,E,Peony,Vase,,
富贵因缘,fuguiyinyuan,E,Peony,Citrus Grandis,,
富贵有期,fuguiyouqi,E,Peony,Chicken,,
富贵有余,fuguiyouyu,E,Peony,Fish,,
功名富贵,gongmingfugui,E,Chicken,Peony,,
荷包金余,hebaojinyu,E,Lotus,Goldfish,,
连年有余,liannianyouyu,E,Lotus,Catfish,,
事事有余,shishiyouyu,E,Persimmon,Fish,,
吉利万年,jiliwannian,E,Chicken,Lychee,,
加官进禄,jiaguanjinlu,E,Official Hat,Deer,,
加官受禄,jiaguanshoulu,E,Official,Deer,,
家家得利,jiajiadeli,E,carp,,,
金玉满堂,jinyumantang,E,Goldfish,,,
爵禄图,juelutu,E,Sparrow,Deer,,
开市大吉,kaishidaji,E,Persimmon,Chicken,,
利市图,lishitu,E,Chestnut,Persimmon,,
满堂富贵,mantangfugui,E,Chinese flowering crab-apple,Peony,,
耄耋富贵,maodiefugui,E,Peony,Cat,Butterfly,
年年富贵,niannianfugui,E,Catfish,Peony,,
平安多利,pinganduoli,E,Apple,Quail,Lychee,
平安富贵,pinganfugui,E,Apple,Peony,,
平生富贵,pingshengfugui,E,Vase,Bat,,
清平富贵,qingpingfugui,E,Vase,Peony,,
