"id";"image";"theme";"design";"punning";"cf";"cf_url";"memo"
"37";"a6308.jpg";"百事如意";"百合 + 柿子 + 灵芝";"Chinese day-lily bulb+persimmon-1+lucid ganoderma";"北京故宫博物院藏：《岁朝佳兆图》轴，明，朱见深绘，绢本，设色，纵59.7cm，横35.5cm。國立历史博物館編輯委員會編輯(1996)《午日鍾馗畫特展》,台北市 : 國立历史博物館。p. 36, Pl. 28";;"Meng 1991:68-9; Qianlong kesi piece, plate on back page of The National Palace Museum Monthly No. 11; hanging scroll by Kong Ziyu (b 1899) 273 in Hanya catalogue 12/18/96; hanging scroll, in the collection of Lee Kong Chian Art Museum, The National University of Singapore 穆益勤编著 明代院体浙派史料 上海人民美术出版社 1985 241-2页 成化题诗 柏柿如意 一脉春回暖气随 风云万里值明时 画图今日来佳兆 如意年年百事宜 钟馗百图 王兰西、王树村编著 支那名画宝鉴"
"38";"baishiruyi-5.jpg";"百事如意";"百合 + 柿子 + 灵芝";"Chinese day-lily bulb+persimmon-1+lucid ganoderma";"溥儒 献瑞图 临摹宣德皇帝原图";;
"39";"a9361.jpg";"百事如意";"百合 + 柿子 + 灵芝";"Chinese day-lily bulb+persimmon-1+lucid ganoderma";"Chinese Paintings and Calligraphy, Dec.18, 1996, Sichuan Hanya, Chengdu, lot 273, 孔子瑜 1899-？立轴 纸本设色 1924 148.5x79cm";;"Meng 1991:68-9; Qianlong kesi piece, plate on back page of The National Palace Museum Monthly No. 11; hanging scroll by Kong Ziyu (b 1899) 273 in Hanya catalogue 12/18/96; hanging scroll, in the collection of Lee Kong Chian Art Museum, The National University of Singapore 穆益勤编著 明代院体浙派史料 上海人民美术出版社 1985 241-2页 成化题诗 柏柿如意 一脉春回暖气随 风云万里值明时 画图今日来佳兆 如意年年百事宜 钟馗百图 王兰西、王树村编著 支那名画宝鉴"
"40";"a5264.jpg";"百事如意";"柏树 + 柿子 + 如意";"cypress+persimmon-1+sceptre";"-";;"Meng 1991:68-9; Qianlong kesi piece, plate on back page of The National Palace Museum Monthly No. 11; hanging scroll by Kong Ziyu (b 1899) 273 in Hanya catalogue 12/18/96; hanging scroll, in the collection of Lee Kong Chian Art Museum, The National University of Singapore 穆益勤编著 明代院体浙派史料 上海人民美术出版社 1985 241-2页 成化题诗 柏柿如意 一脉春回暖气随 风云万里值明时 画图今日来佳兆 如意年年百事宜 钟馗百图 王兰西、王树村编著 支那名画宝鉴"
"41";"no-image.png";"百岁富贵平安如意";"百合 + 碎瓶 + 牡丹 + 鹌鹑 + 如意";"Chinese day-lily bulb+craquelure vase+peony+quail+spectre";;;"Guangxu glass snuff bottle, plate 236 in Christie’s catalogue Oct. 18, 1993"
"42";"no-image.png";"百岁富贵平安如意";"百合 + 碎瓶 + 牡丹 + 鹌鹑 + 灵芝";"Chinese day-lily bulb+craquelure vase+peony+quail+lucid ganoderma";;;"Guangxu glass snuff bottle, plate 236 in Christie’s catalogue Oct. 18, 1993"
"43";"a9551.jpg";"百岁图";"书法和图书的碎片";"scrapes of penmanship and painting and torn pages from books";"-";;"snuff bottle of painted rock crystal in Hui & Sin 1995:189; inside-painted glass snuff bottle 水晶内画鼻烟壶, lot 500 in Christie’s Catalogue New York June 2, 1994 at the back of the bottle, the artist Ma Shaoxuan inscribes the title of the painting ‘百岁图’"
"44";"a9550.jpg";"百岁图";"书法和图书的碎片";"scrapes of penmanship and painting and torn pages from books";"-";;"snuff bottle of painted rock crystal in Hui & Sin 1995:189; inside-painted glass snuff bottle 水晶内画鼻烟壶, lot 500 in Christie’s Catalogue New York June 2, 1994 at the back of the bottle, the artist Ma Shaoxuan inscribes the title of the painting ‘百岁图’"
"45";"baitoudaolao.jpg";"白头到老";"白头翁 + 二";"a pair of Chinese bulbuls";"天津鼎天拍卖有限公司2013春季艺术品拍卖会";;"-"
"46";"a9555.jpg";"白头高节";"竹节 + 白头翁";"Chinese bulbul+joints of bamboo";"painting by Wu Bing (Song dynasty), plate 10, p. 221 in Wenwu Guanghua 1 丛竹白头";;"Porcelain snuff bottle in Kleiner 1995:89"
"47";"a9755.jpg";"白头高节";"竹节 + 白头翁";"Chinese bulbul+joints of bamboo";"支那南画大成续集 河井荃庐等监修 东京: 兴文社, 1935卷六 p.32;";;"Porcelain snuff bottle in Kleiner 1995:89"
"48";"a9328.jpg";"白头三友";"竹子 + 松 + 梅 + 白头翁";"Chinese bulbul+san you";"中国书画鉴赏辞典 郎绍君等主编 北京: 中国青年出版社, 1994 p.510 王武画";;"Chen ZL 97:674"
"49";"a2932.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"50";"yzheng_fencai_baitoufugui.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"51";"a3999.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"52";"a2689.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"53";"a2695.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"54";"a2700.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"55";"a5329.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"56";"a6479.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"-";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"57";"a9206.jpg";"白头富贵";"白头翁 + 牡丹";"Chinese bulbul+peony";"主编郎绍君, 郭天民 齐白石全集 长沙市: 湖南美术出版社, 1996，Vol. 3, pl. 298 立轴 纸本 水墨设色 103 x 33cm ca.early 1930s 首都博物馆藏";;"Meng 1991:72; Ashmolean Museum: 18th cent. famille-rose saucer dish, in The Encyclopedia of Visual Art, Vol. 2, p. 295; hanging scroll by Wu Shiqing (late 19th cent.), plate 480, Lee Kong Chien Museum Catalogue, The National University of Singapore; hanging scroll by Ren Bonian (1840 - 1896) 253 in Sichuan Hanya catalogue 12/18/96; 国立历史博物馆展览组 (1996) 《齐白石画集》, 台北: 国立历史博物馆 92; 雍正粉彩双耳扁壶S Scott 89:83; 97:134 故宫居廉 天球瓶Guimet 46 S386a"
"58";"shoumeibaitou.jpg";"白头眉寿";"白头翁 + 梅 + 太湖石";"a pair of Chinese bulbuls+prunus+longevity rock";"王震 丙辰（1916）年作 眉寿白头 立轴 设色纸本。上海道明拍卖有限公司2012春季拍卖会，2012-06-29";;"-"
"59";"baitouxielao.jpg";"白头偕老";"白头翁 + 二";"a pair of Chinese bulbuls";"恽寿平（1633－1690）初名格，字寿平，以字行又字正叔别号南田。北京隆荣国际拍卖有限公司2013年秋季拍卖会拍卖会专场丹青雅集——中国历代书画专场，2013-10-13";;"任颐 海上四任精品：故宫博物院藏任熊、任薰、任颐、任预绘画选集 石家庄: 河北美术出版社, 1992, p. 87 right"
"60";"a0285.jpg";"百子千房";"百 + 石榴";"hundred+pomegranate";"中国现代绘画史: 晚清之部. 1840-1911 李铸晋, 万青力 台北: 石头出版股份有限公司, 1998 pl. 2.16 p. 54 赵之谦 1870 东京博物馆藏";;"-"
"61";"a5296.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"62";"a0125.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"63";"a0479.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"64";"a2621.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"65";"a4944.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"66";"a6478.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"67";"a6732.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"Korean painting, Yi dynasty 17th century, 110.5 x 65.5 cm, Marion Hammer, Far Eastern Antiquities, Oriental Art, No.2, Vol.XIX, Summer 1973, p. 144";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"68";"b1262.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"hanging scroll, Korea Choson dynasty, 19th century, ink and colour on paper, image: 87x42cm, Journey through Asia: masterpieces in the Brooklyn Museum of Art, Amy G. Poster et al., Brooklyn, NY: Brooklyn Museum of Art; London: Philip Wilson, 2003, p. 158, pl.60";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"69";"baoxic.jpg";"报喜图";"豹 + 喜鹊";"leopard+magpie";"-";;"Porcelain snuff bottle in Kleiner 1995:89; 虎鹊 大坂 收藏家38 ArtsofKoreaII357 ; 海外藏5/156"
"70";"a5379.jpg";"辈辈封侯";"背 + 猴";"a monkey carrying on the back another monkey";"-";;"Qing jade, lot 77 in Hanya catalogue 12/18/96; Meng 1991:93;；Christie00OctHK964"
"71";"a6477.jpg";"辈辈封侯";"背 + 猴";"a monkey carrying on the back another monkey";"-";;"Qing jade, lot 77 in Hanya catalogue 12/18/96; Meng 1991:93;；Christie00OctHK964"
"72";"a9286.jpg";"辈辈封侯";"背 + 猴";"a monkey carrying on the back another monkey";" Cammann 1962, p. 210, pl.121";;"Qing jade, lot 77 in Hanya catalogue 12/18/96; Meng 1991:93;；Christie00OctHK964"
"73";"b0157.jpg";"辈辈封侯";"背 + 猴";"a monkey carrying on the back another monkey";"The language of adornment: Chinese ornaments of jade, crystal, amber and glass : from the Neolithic period to the Qing dynasty, Filippo Salviati, Paris: Myrna Myers, 2002 pl. 92 Liao dynasty, 10th - 11th century, H: 8 W: 4.2";;"Qing jade, lot 77 in Hanya catalogue 12/18/96; Meng 1991:93;；Christie00OctHK964"
"74";"a0306.jpg";"辈辈封侯";"背 + 猴";"a monkey carrying on the back another monkey";"-";;"Qing jade, lot 77 in Hanya catalogue 12/18/96; Meng 1991:93;；Christie00OctHK964"
"75";"a5316.jpg";"必得其寿";"玉兰花 + 太湖石";"magnolia+longevity rock";"-";;"Liu & Wang 1991:197"
"76";"no-image.png";"必定夺魁";"笔 + 锭 + 魁";"pen-brush+ingot+a rebus of the pictogram 魁 kui";;;"The National Palace Museum 1990:53"
"77";"a3829.jpg";"必定如意";"笔 + 锭 + 如意";"pen-brush+gold or silver ingot+sceptre";"钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 297, pl. 397 光绪黄釉锦地开光粉彩花鸟纹碗底 高8 口径12.7cm";;"Guangxu fencai bowl in Qian 1994:297"
"78";"a9575.jpg";"必定如意";"笔 + 锭 + 如意";"pen-brush+gold or silver ingot+sceptre";"琺瑯彩・粉彩 主編葉佩蘭 香港: 商務官印書館(香港)有限公司, 1999, p. 260, pl.231 同治大婚用品 粉彩红地圆盒";;"Guangxu fencai bowl in Qian 1994:297"
"79";"a9316.jpg";"必定升官";"笔 + 锭 + 冠帽";"pen-brush+ingot+official hat";"王树村 中国吉祥图集成 石家庄: 河北人民出版社, 1992 pl.19 25x23cm 天津杨柳青";;"-"
"82";"a7669.jpg";"并蒂双贵";"并蒂莲 + 二 + 鳜鱼";"double lotus flowers on one stalk+two mandarin fish";"-";;"-"
"83";"a9332.jpg";"蟾宫折桂";"蟾蜍 + 弓 + 桂花";"changongzhegui";"Rudova, Maria (V. Sobolev trans.). Chinese Popular Prints，Leningrad: Aurora Art Publishers, 1988, pl. 58d 蝉功折桂 part 61x108cm";;"王树村92/16 Kilburn88 明墨故宫 木刻58 玉杵记 Lion-Goldschmidt201 Jorg97/60 年画图录150"
"84";"a5303.jpg";"长春白头";"长春花 + 白头翁";"china rose-1+Chinese bulbul";"-";;"Meng 1991:101; Kangxi porcelain dish with enamel overglaze, plate 38 in Cort & Stuart 1993"
"85";"changchunshouxi-1.png";"长春寿喜";"长春花 + 太湖石 + 喜鹊";"china rose-1+longevity rock+magpie";;;"Meng 1991:102;"
"86";"no-image.png";"长春寿喜";"长春花 + 太湖石 + 喜字";"china rose-1+longevity rock+the Chinese character for happiness";;;"Meng 1991:102;"
